station_id,station_name,n_observations,alpha_hier,alpha_np,shrinkage,obs_group,mae_hier,mae_np,mae_diff
85,"WHITE LAKE 4 E, MI US",97,30.917107078385612,32.098282451319776,1.1811753729341632,80-100,9.834737978482833,9.90440080378754,0.06966282530470735
86,"IRONWOOD, MI US",96,22.594765599736014,23.130596165990422,0.5358305662544076,80-100,9.922345805904865,9.95721366142696,0.034867855522096036
87,"IRONWOOD NUMBER 2, MI US",95,22.534911866426487,23.08254720403922,0.5476353376127321,80-100,9.978242483638143,10.007824784095183,0.029582300457040134
88,"TAHQUAMENON FALLS S P, MI US",40,23.518411107170465,23.60718007249934,0.08876896532887457,29-40,9.874807270641089,9.879245718907532,0.004438448266443018
89,"HILLSDALE, MI US",66,30.66874431015889,31.90352199333894,1.2347776831800523,60-80,9.933502982081365,10.120314090463484,0.18681110838211978
90,"FLINT 7 W, MI US",65,29.783316864088107,30.96237678660172,1.1790599225136127,60-80,9.9175502777643,10.153362262267024,0.2358119845027229
91,"BATTLE CREEK 5 NW, MI US",60,31.845772921989305,33.25576939487937,1.409996472890068,40-60,10.233457296104763,10.433693801908397,0.20023650580363395
92,"HOUGHTON LAKE ROSCOMMON CO AIRPORT, MI US",96,27.227998039102616,28.15948208185769,0.9314840427550735,80-100,8.550790018080678,8.614230016491339,0.0634399984106615
93,"KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US",97,33.55742403678855,34.95061385939449,1.3931898226059403,80-100,9.869001307693717,10.04188192573664,0.17288061804292276
94,"PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US",93,31.623886963965166,32.87989321236083,1.2560062483956607,80-100,9.561443118691491,9.574948562222628,0.013505443531137473
95,"LEXINGTON WATER PLANT, MI US",84,29.59045176175509,30.683598387186468,1.0931466254313769,80-100,9.068781768047673,9.151885119730586,0.08310335168291338
96,"CROSS VILLAGE 1 E, MI US",42,25.91729975634198,26.501735593435775,0.5844358370937961,40-60,7.571177423807861,7.603432525908734,0.03225510210087279
97,"FRANKFORT 2 NE, MI US",97,30.956518916857465,32.132916270330036,1.17639735347257,80-100,7.33704813205095,7.4760582775862945,0.13901014553534452
98,"RACO MICHIGAN, MI US",92,23.987562187891253,24.647719921645006,0.6601577337537528,80-100,7.841720942991079,7.895852271232758,0.0541313282416791
99,"THREE RIVERS, MI US",97,34.592096692508875,36.03876680052173,1.446670108012853,80-100,9.814424765833005,9.926374009589495,0.11194924375648974
100,"BALDWIN MICHIGAN, MI US",80,31.618854349025995,32.92949848938762,1.3106441403616245,60-80,7.700766052397623,7.782625384506642,0.08185933210901908
101,"GWINN K I SAWYER AFB, MI US",87,24.219537100989672,24.855920965545682,0.6363838645560094,80-100,7.740965546757235,7.753857841211642,0.012892294454406539
102,"CLARKSBURG, MI US",97,20.428649900425025,20.830197193477822,0.401547293052797,80-100,9.56142489394727,9.590402533652114,0.028977639704843128
103,"ALGONAC WWTP, MI US",94,30.885345079475492,32.09844617060338,1.2131010911278892,80-100,8.640129058109371,8.66027431249569,0.020145254386317646
